ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7033606212469522e+01 1.0296639378753048e+02
9.7033606212469522e+01 1.0296639378753048e+02
9.7033606212469522e+01 1.0296639378753048e+02
ITEM: ATOMS id mol type x y z
1 1 1 101.441 102.24 99.7785
2 1 1 102.559 102.199 100.256
3 2 1 99.0803 98.1819 99.1935
4 2 1 98.0643 97.9873 98.6179
5 3 1 99.636 97.3023 97.6656
6 3 1 100.748 102.809 97.7227
7 4 1 100.106 97.6915 99.46
8 4 1 99.8998 98.8728 99.4057
9 5 1 100.911 100.045 102.568
10 5 1 101.587 100.667 97.36
11 6 1 101.351 102.383 98.6625
12 6 1 101.171 97.6187 98.4728
13 7 1 99.9065 99.9037 99.1666
14 7 1 98.9458 99.2332 99.0082
15 8 1 101.595 101.33 99.0791
16 8 1 101.149 100.408 98.4566
17 9 1 102.705 98.8896 102.507
18 9 1 97.4468 99.8427 102.682
19 10 1 102.513 101.643 102.131
20 10 1 97.6573 101.805 101.673
21 11 1 102.918 98.6038 101.456
22 11 1 102.396 98.7408 100.341
23 12 1 100.087 97.9276 98.4039
24 12 1 100.703 98.8572 98.0135
25 13 1 98.2353 98.1231 97.4521
26 13 1 97.0763 98.311 97.3393
27 14 1 97.1797 99.4237 98.8022
28 14 1 98.1704 99.8913 98.695
29 15 1 98.3018 102.282 102.267
30 15 1 98.2441 101.081 102.268
31 16 1 99.0796 98.5014 101.127
32 16 1 100.184 98.0066 101.315
33 17 1 98.511 100.898 100
34 17 1 97.3805 101.248 100.078
35 18 1 101.535 100.534 100.784
36 18 1 102.33 99.8791 100.148
37 19 1 99.5386 101.296 97.5879
38 19 1 98.7569 100.607 97.109
39 20 1 102.825 101.45 101.049
40 20 1 102.243 101.008 100.069
41 21 1 101.804 97.7775 102.714
42 21 1 101.221 98.7785 97.0593
43 22 1 99.4617 100.221 100.06
44 22 1 99.3232 101.227 100.651
45 23 1 100.516 100.724 97.5787
46 23 1 100.781 101.818 97.2168
47 24 1 102.202 97.1412 98.4917
48 24 1 102.331 102.161 99.1846
49 25 1 102.814 97.3159 97.0383
50 25 1 102.506 97.7713 101.94
51 26 1 98.5369 101.876 99.5261
52 26 1 99.1134 101.436 98.6132
53 27 1 102.827 101.219 99.0104
54 27 1 102.05 100.34 99.2238
55 28 1 98.2314 99.2547 100.836
56 28 1 97.1102 99.4827 100.914
57 29 1 102.892 98.2783 99.5555
58 29 1 97.2178 97.2895 100.192
59 30 1 102.539 100.422 101.14
60 30 1 102.005 99.2958 101.104
61 31 1 98.082 98.2929 101.324
62 31 1 97.2675 97.5395 101.249
63 32 1 102.233 99.1656 99.3616
64 32 1 101.638 98.735 98.4407
65 33 1 98.1695 102.74 100.081
66 33 1 98.6407 97.6115 100.726
67 34 1 98.6311 99.5811 102.471
68 34 1 99.5272 99.9308 97.2305
69 35 1 100.716 102.395 100.861
70 35 1 99.6716 97.1428 100.781
71 36 1 100.361 99.6339 100.111
72 36 1 101.435 99.0794 100.043
73 37 1 97.9667 97.2566 102.858
74 37 1 97.3611 97.486 97.9739
75 38 1 99.1237 97.2436 99.797
76 38 1 99.2939 97.2429 98.6502
77 39 1 99.9363 100.775 98.4938
78 39 1 99.1331 99.9619 98.1946
79 40 1 98.8737 102.572 97.1031
80 40 1 97.7929 102.433 97.5638
81 41 1 98.563 98.5623 100.107
82 41 1 97.459 98.4248 100.511
83 42 1 101.254 101.431 98.0578
84 42 1 102.208 100.728 98.2599
85 43 1 100.615 101.825 99.2514
86 43 1 100.227 102.677 99.9323
87 44 1 97.9854 100.982 101.182
88 44 1 98.8446 101.617 101.552
89 45 1 100.635 97.549 100.459
90 45 1 99.5945 98.0632 100.308
91 46 1 97.1881 97.2948 99.1055
92 46 1 98.3164 102.896 99.0138
93 47 1 98.225 101.997 98.4268
94 47 1 97.9502 101.08 99.1122
95 48 1 98.3763 98.9403 98.1112
96 48 1 97.9373 98.8039 99.215
97 49 1 98.6567 100.26 100.829
98 49 1 99.7795 100.041 101.138
99 50 1 102.257 98.9928 97.6121
100 50 1 101.842 99.5348 102.606
101 51 1 97.1565 102.432 98.4107
102 51 1 97.4464 101.376 98.0305
103 52 1 101.411 102.122 101.871
104 52 1 101.018 101.102 102.394
105 53 1 100.511 98.606 100.245
106 53 1 101.54 98.0197 100.149
107 54 1 101.79 102.799 97.4981
108 54 1 101.815 101.716 97.05
109 55 1 101.48 97.3649 101.569
110 55 1 100.368 102.931 101.665
111 56 1 100.96 97.8367 97.4518
112 56 1 100.859 98.0411 102.199
113 57 1 102.722 102.27 97.3446
114 57 1 102.639 101.109 97.3223
115 58 1 99.9437 102.398 97.1352
116 58 1 99.2099 102.286 98.0588
117 59 1 97.8979 98.9322 102.899
118 59 1 98.7379 98.5206 102.152
119 60 1 99.8493 98.5848 102.225
120 60 1 100.037 97.4717 102.625
