ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7026772895079233e+01 1.0297322710492077e+02
9.7026772895079233e+01 1.0297322710492077e+02
9.7026772895079233e+01 1.0297322710492077e+02
ITEM: ATOMS id mol type x y z
1 1 1 99.8854 101.147 98.5325
2 1 1 101.066 100.815 98.8036
3 2 1 97.4031 101.22 102.701
4 2 1 102.432 100.899 102.188
5 3 1 99.289 101.329 99.3785
6 3 1 98.8064 101.198 98.3831
7 4 1 97.3442 101.547 99.6904
8 4 1 97.47 100.766 98.8023
9 5 1 97.1248 98.8624 100.553
10 5 1 97.6126 99.241 101.577
11 6 1 98.1792 97.3395 97.5733
12 6 1 98.4352 102.706 98.6255
13 7 1 100.167 98.7042 97.1708
14 7 1 99.6047 97.6188 97.1315
15 8 1 101.269 99.5333 101.515
16 8 1 100.486 100.296 101.954
17 9 1 98.6985 101.186 101.542
18 9 1 99.3703 100.548 102.29
19 10 1 99.6864 102.566 101.116
20 10 1 98.6716 102.638 100.512
21 11 1 101.318 98.5625 98.6252
22 11 1 100.356 97.893 98.864
23 12 1 102.873 99.0062 97.5492
24 12 1 97.642 99.9648 97.2545
25 13 1 99.2388 100.191 98.5311
26 13 1 99.7949 99.417 99.2128
27 14 1 99.1389 98.0893 100.272
28 14 1 98.3768 98.3719 99.4477
29 15 1 98.761 100.066 97.1712
30 15 1 98.3236 101.171 97.355
31 16 1 97.2508 99.8621 98.2728
32 16 1 98.2507 99.7505 98.9537
33 17 1 99.5024 99.4404 97.5709
34 17 1 99.0048 99.0288 98.5992
35 18 1 102.022 99.8933 102.159
36 18 1 100.964 99.5186 102.537
37 19 1 99.8688 99.3828 102.357
38 19 1 100.282 100.253 97.0649
39 20 1 97.9839 97.1432 101.973
40 20 1 98.7415 97.5436 101.175
41 21 1 98.2185 100.197 101.276
42 21 1 98.1676 99.6273 102.341
43 22 1 97.8335 98.7292 102.808
44 22 1 98.7567 98.2601 97.5409
45 23 1 102.922 97.8481 100.709
46 23 1 97.1395 98.3309 99.5698
47 24 1 101.185 98.3759 102.833
48 24 1 102.431 98.2036 102.73
49 25 1 102.08 99.4518 98.2714
50 25 1 101.835 99.3025 97.1427
51 26 1 101.795 98.8632 102.134
52 26 1 102.407 99.4825 101.31
53 27 1 100.991 99.2219 100.487
54 27 1 100.075 99.9473 100.143
55 28 1 99.4674 97.231 102.115
56 28 1 99.8436 97.6478 101.086
57 29 1 101.481 98.5207 101.222
58 29 1 101.68 97.7552 102.126
59 30 1 101.231 97.7624 100.507
60 30 1 100.443 98.444 100.952
61 31 1 98.9279 102.355 99.4698
62 31 1 98.0755 101.692 98.8995
63 32 1 101.485 97.5458 98.3074
64 32 1 102.543 97.4436 98.8546
65 33 1 98.2271 100.689 102.297
66 33 1 98.0188 101.889 102.163
67 34 1 101.572 100.206 100.696
68 34 1 101.327 101.37 100.759
69 35 1 102.685 102.727 100.715
70 35 1 102.027 97.6172 101.161
71 36 1 99.5828 98.3283 102.254
72 36 1 98.5251 98.6903 101.872
73 37 1 102.673 98.4634 98.5138
74 37 1 97.6133 97.7459 98.8121
75 38 1 97.3353 99.9106 100.735
76 38 1 102.395 100.52 101.182
77 39 1 100.249 100.077 98.0859
78 39 1 101.447 100.28 97.8735
79 40 1 100.506 102.82 100.474
80 40 1 100.905 97.3885 101.431
81 41 1 102.348 101.212 97.2515
82 41 1 101.405 100.585 102.785
83 42 1 102.593 98.474 101.608
84 42 1 102.918 97.4004 101.773
85 43 1 98.2052 99.9961 100.172
86 43 1 99.2113 99.7223 100.693
87 44 1 102.927 102.041 97.5441
88 44 1 102.198 102.498 98.3634
89 45 1 97.7278 98.1602 101.484
