ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7020095662525307e+01 1.0297990433747469e+02
9.7020095662525307e+01 1.0297990433747469e+02
9.7020095662525307e+01 1.0297990433747469e+02
ITEM: ATOMS id mol type x y z
1 1 1 102.85 99.1743 100.56
2 1 1 102.869 100.006 99.7828
3 2 1 99.3913 102.809 98.5247
4 2 1 98.3657 102.368 98.119
5 3 1 99.7414 98.7264 98.998
6 3 1 98.9473 98.8624 98.1444
7 4 1 98.3783 101.034 102.316
8 4 1 99.1174 100.852 97.3058
9 5 1 99.0384 98.8946 102.506
10 5 1 98.4524 98.9359 101.515
11 6 1 98.8031 100.178 98.0197
12 6 1 97.7783 100.498 98.4067
13 7 1 98.2966 102.848 102.018
14 7 1 99.0329 97.739 102.519
15 8 1 102.799 100.975 98.6862
16 8 1 101.688 101.193 98.7729
17 9 1 101.854 101.17 102.638
18 9 1 102.559 102.093 102.443
19 10 1 102.064 100.259 99.1472
20 10 1 100.99 100.815 99.3836
21 11 1 102.339 97.1998 98.1011
22 11 1 97.2935 97.6279 98.7816
23 12 1 102.288 97.9428 101.904
24 12 1 102.548 97.1407 101.044
25 13 1 97.6578 102.017 102.212
26 13 1 97.1373 102.135 101.176
27 14 1 100.783 102.716 99.8768
28 14 1 100.012 101.807 100.324
29 15 1 98.0424 97.695 99.4944
30 15 1 97.886 102.559 99.1046
31 16 1 101.054 102.921 102.63
32 16 1 101.344 101.922 102.006
33 17 1 102.73 98.1751 100.881
34 17 1 97.1449 97.4203 100.017
35 18 1 100.493 99.0217 99.7943
36 18 1 100.649 99.2894 98.6165
37 19 1 98.0098 102.85 97.125
38 19 1 97.3517 102.74 98.1717
39 20 1 102.343 98.0241 99.0597
40 20 1 101.223 97.5728 99.2418
41 21 1 98.9042 97.3809 97.6147
42 21 1 98.4647 98.4097 97.2941
43 22 1 98.0275 97.8101 102.53
44 22 1 97.926 98.963 102.463
45 23 1 98.8801 102.938 99.4288
46 23 1 98.3416 97.4439 98.5171
47 24 1 101.887 99.6516 102.347
48 24 1 100.994 98.9123 102.643
49 25 1 100.426 100.742 100.32
50 25 1 101.618 100.704 100.164
51 26 1 97.5584 101.463 100.326
52 26 1 102.806 102.408 100.207
53 27 1 101.441 98.6866 97.6609
54 27 1 102.52 98.1993 97.7158
55 28 1 97.5044 98.2513 101.677
56 28 1 97.8058 98.1891 100.586
57 29 1 102.486 102.09 98.4629
58 29 1 97.2099 101.794 99.3904
59 30 1 100.131 102.358 97.3281
60 30 1 99.0416 102.627 102.86
61 31 1 102.384 99.1214 99.4
62 31 1 101.959 98.6146 100.383
63 32 1 99.5197 101.676 102.712
64 32 1 99.3838 100.833 101.915
65 33 1 101.367 102.942 101.579
66 33 1 101.214 97.935 102.228
67 34 1 99.3635 97.8771 98.5189
68 34 1 100.132 97.6562 99.4244
69 35 1 97.6302 100.296 100.703
70 35 1 102.83 100.229 101.729
71 36 1 98.7791 101.93 102.02
72 36 1 99.4191 102.917 101.925
73 37 1 100.323 102.252 102.221
74 37 1 100.22 101.448 101.381
75 38 1 97.5244 99.4455 101.416
76 38 1 97.7577 100.137 102.363
77 39 1 101.301 101.911 98.0928
78 39 1 100.145 102.002 98.3639
79 40 1 99.9202 98.1964 100.362
80 40 1 99.616 98.8086 101.384
81 41 1 102.067 102.21 101.351
82 41 1 102.105 97.03 102.273
83 42 1 99.1174 101.847 98.8862
84 42 1 98.9787 102.188 100.08
85 43 1 101.714 97.8069 101.034
86 43 1 101.586 98.8053 101.675
87 44 1 102 99.6888 101.229
88 44 1 101.076 99.0317 100.762
89 45 1 100.004 99.2451 102.609
90 45 1 100.883 100.041 102.618
91 46 1 101.181 99.7257 99.4494
92 46 1 101.894 99.356 98.5017
93 47 1 98.8364 102.736 101.047
94 47 1 99.9697 102.463 101.186
95 48 1 97.9957 99.4357 98.2819
96 48 1 97.4895 98.7314 97.4867
97 49 1 102.473 101.07 99.6727
98 49 1 97.637 100.711 99.5129
99 50 1 98.8407 100.073 102.479
100 50 1 98.2868 99.4916 97.2982
101 51 1 97.2818 99.788 97.5546
102 51 1 97.091 100.927 97.6448
103 52 1 98.2613 101.535 99.385
104 52 1 98.543 101.246 98.1934
105 53 1 99.5744 97.7539 101.266
106 53 1 98.8971 98.4765 100.638
107 54 1 101.162 101.139 101.088
108 54 1 100.4 100.42 101.692
109 55 1 101.758 97.6363 97.2256
110 55 1 102.06 98.6545 102.667
111 56 1 97.1933 101.041 102.545
112 56 1 97.3188 101.991 97.3468
113 57 1 101.45 99.771 97.5338
114 57 1 102.402 100.327 102.969
115 58 1 97.1909 97.1706 101.993
116 58 1 97.0647 98.1754 102.634
117 59 1 100.721 98.0257 97.2204
118 59 1 99.981 97.3546 97.8517
119 60 1 98.5633 97.5181 100.362
120 60 1 98.3705 98.6219 99.7408
121 61 1 101.528 100.498 101.86
122 61 1 102.455 101.252 101.681
123 62 1 101.084 101.641 100.103
124 62 1 102.015 102.023 99.4729
125 63 1 97.2989 98.5465 99.6813
126 63 1 97.9568 99.2673 100.454
127 64 1 101.221 100.814 97.4343
128 64 1 101.238 100.231 98.4781
129 65 1 98.7087 100.629 99.0474
130 65 1 99.2197 101.18 99.9052
131 66 1 100.611 98.2413 101.338
132 66 1 100.609 97.2511 100.736
133 67 1 101.079 100.107 100.895
134 67 1 101.951 99.6965 100.188
135 68 1 98.1443 101.944 101.183
136 68 1 98.4701 100.94 100.658
137 69 1 98.9744 99.554 100.784
138 69 1 98.4071 100.126 99.9711
139 70 1 99.3544 99.5838 97.393
140 70 1 100.387 99.0371 97.6358
141 71 1 100.162 101.261 97.4928
142 71 1 101.081 101.924 97.0773
143 72 1 101.597 97.8909 98.2675
144 72 1 101.591 102.705 98.7215
145 73 1 99.4491 99.0548 99.9871
146 73 1 99.1554 97.9942 99.5865
147 74 1 98.1499 98.458 98.7435
148 74 1 97.0408 98.7604 98.5538
149 75 1 99.8812 100.366 102.719
150 75 1 99.5033 99.8 101.73
151 76 1 100.112 99.547 100.742
152 76 1 99.4685 100.11 99.9132
153 77 1 100.678 101.115 98.4009
154 77 1 99.5126 100.881 98.3664
155 78 1 102.054 97.6598 100.008
156 78 1 101.756 102.577 100.357
157 79 1 100.526 97.0459 98.6678
158 79 1 99.8796 102.317 99.4056
159 80 1 102.118 101.396 97.7049
160 80 1 102.229 100.291 98.0523
161 81 2 98.4503 100.175 101.497
