ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7022792336786793e+01 1.0297720766321321e+02
9.7022792336786793e+01 1.0297720766321321e+02
9.7022792336786793e+01 1.0297720766321321e+02
ITEM: ATOMS id mol type x y z
1 1 1 97.7694 98.7569 99.4349
2 1 1 102.601 98.4529 99.0643
3 2 1 101.703 97.312 98.8908
4 2 1 101.116 97.5864 97.8332
5 3 1 98.772 100.472 97.6999
6 3 1 98.7971 99.3487 98.0463
7 4 1 98.4144 99.456 97.0471
8 4 1 99.3435 99.1324 102.425
9 5 1 100.81 99.152 101.842
10 5 1 100.288 99.0576 102.902
11 6 1 102.444 101.864 97.5266
12 6 1 102.024 101.062 102.727
13 7 1 102.866 102.233 101.293
14 7 1 97.897 102.925 101.378
15 8 1 102.293 100.532 98.9286
16 8 1 101.174 100.534 99.3257
17 9 1 100.314 102.021 102.837
18 9 1 101.397 101.73 97.2996
19 10 1 97.4473 100.36 98.6747
20 10 1 102.755 101.263 98.3296
21 11 1 102.762 97.4443 99.1039
22 11 1 97.8928 97.343 99.6467
23 12 1 97.2324 98.5024 101.553
24 12 1 97.8321 97.7556 102.134
25 13 1 99.5291 98.7032 101.425
26 13 1 98.6945 99.556 101.743
27 14 1 99.4461 102.79 100.84
28 14 1 100.15 101.854 100.654
29 15 1 97.5357 101.476 99.0674
30 15 1 98.5427 101.809 98.5434
31 16 1 101.03 102.926 102.969
32 16 1 100.928 97.1115 101.758
33 17 1 97.1652 98.0216 99.9609
34 17 1 97.3835 102.905 100.458
35 18 1 101.403 98.364 99.3177
36 18 1 100.403 98.849 99.7836
37 19 1 102.029 102.739 101.726
38 19 1 102.67 101.87 102.317
39 20 1 101.357 100.109 98.4177
40 20 1 100.931 99.0568 98.6364
41 21 1 99.2193 97.9136 98.1499
42 21 1 98.7831 97.5971 99.164
43 22 1 97.9982 98.6242 97.7161
44 22 1 98.249 97.4659 97.8962
45 23 1 98.1479 102.761 98.7153
46 23 1 97.2097 97.1646 98.1386
47 24 1 102.522 98.2336 100.794
48 24 1 101.601 97.5688 101.05
49 25 1 99.8565 101.749 99.6802
50 25 1 100.993 101.889 100.005
51 26 1 97.0301 101.934 100.174
52 26 1 102.332 102.892 100.649
53 27 1 102.179 97.2661 97.8205
54 27 1 97.2037 102.592 97.2601
55 28 1 97.8313 97.9481 100.84
56 28 1 98.9874 97.8747 101.007
57 29 1 97.4975 102.1 98.1925
58 29 1 97.3268 102.483 99.29
59 30 1 98.3129 102.267 97.534
60 30 1 99.0156 102.262 102.52
61 31 1 101.986 99.2434 98.7617
62 31 1 101.289 99.3878 99.6849
63 32 1 100.255 100.427 102.611
64 32 1 99.6132 99.7848 97.3964
65 33 1 97.0767 102.871 102.227
66 33 1 102.724 98.0495 102.361
67 34 1 100.963 98.6498 97.6471
68 34 1 100.588 98.0851 98.6198
69 35 1 97.6961 98.6895 102.601
70 35 1 102.909 99.0991 97.4641
71 36 1 99.1306 100.263 102.542
72 36 1 98.613 101.252 102.033
73 37 1 98.7078 102.303 101.411
74 37 1 98.8908 97.3527 102.046
75 38 1 99.6285 98.0334 102.472
76 38 1 98.5319 97.9817 97.0634
77 39 1 99.1817 102.551 99.448
78 39 1 98.9338 101.404 99.4574
79 40 1 101.258 98.4001 100.407
80 40 1 100.841 98.1358 101.507
81 41 1 100.091 102.403 101.605
82 41 1 100.068 97.0877 102.597
83 42 1 99.41 101.559 101.368
84 42 1 99.188 100.459 101.505
