ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7027233848120446e+01 1.0297276615187961e+02
9.7027233848120446e+01 1.0297276615187961e+02
9.7027233848120446e+01 1.0297276615187961e+02
ITEM: ATOMS id mol type x y z
1 1 1 101.191 97.5452 97.9681
2 1 1 100.811 97.5031 99.1315
3 2 1 99.7389 99.1508 101.996
4 2 1 99.5701 97.9922 101.722
5 3 1 98.0121 97.5678 100.515
6 3 1 97.3116 98.4738 100.118
7 4 1 97.6504 101.493 100.767
8 4 1 97.5011 101.439 99.6458
9 5 1 97.6036 97.4855 99.4717
10 5 1 102.521 102.824 99.4856
11 6 1 100.432 102.134 102.507
12 6 1 101.61 101.835 102.622
13 7 1 98.9386 101.638 97.1087
14 7 1 100.028 101.959 97.5259
15 8 1 98.13 98.7977 100.771
16 8 1 97.552 99.6429 100.045
17 9 1 102.284 100.216 97.7859
18 9 1 102.022 99.0893 97.8456
19 10 1 99.7765 101.91 98.6466
20 10 1 100.257 102.587 99.5144
21 11 1 97.3005 100.286 99.2244
22 11 1 97.3431 100.458 98.09
23 12 1 102.656 102.048 100.247
24 12 1 102.964 97.3016 100.405
25 13 1 100.851 101.214 102.075
26 13 1 100.925 100.315 101.292
27 14 1 101.262 100.636 98.1731
28 14 1 100.848 101.295 97.2441
29 15 1 99.9522 97.806 98.6768
30 15 1 99.2804 102.818 99.011
31 16 1 100.363 101.142 99.2888
32 16 1 100.683 101.566 98.249
33 17 1 99.2726 99.5853 98.9094
34 17 1 99.4251 99.8094 97.7057
35 18 1 99.9376 100.149 99.5016
36 18 1 99.3884 100.964 98.8813
37 19 1 97.4815 101.441 98.6042
38 19 1 98.4525 102.008 99.1831
39 20 1 98.9429 98.4698 102.59
40 20 1 98.48 98.1853 101.577
41 21 1 98.7635 100.353 98.3029
42 21 1 98.9614 100.555 97.1099
43 22 1 97.4741 102.412 99.0459
44 22 1 102.874 97.3463 98.5884
45 23 1 99.3661 102.649 101.579
46 23 1 98.4154 102.427 100.905
47 24 1 97.7137 98.0786 102.36
48 24 1 97.6393 102.928 102.576
49 25 1 99.4327 101.658 101.932
50 25 1 99.1056 100.501 101.933
51 26 1 100.233 100.215 102.066
52 26 1 100.516 99.3994 102.769
53 27 1 101.01 101.932 99.1728
54 27 1 100.451 101.852 100.245
55 28 1 98.6832 98.9484 97.7139
56 28 1 98.9759 97.8679 98.1675
57 29 1 97.2101 99.6704 97.3413
58 29 1 102.831 99.3572 98.4479
59 30 1 102.624 99.2837 99.5613
60 30 1 101.781 100.068 99.8661
61 31 1 100.24 98.0261 97.6809
62 31 1 100.888 98.4797 98.587
63 32 1 101.764 101.624 98.1977
64 32 1 101.81 100.963 97.23
65 33 1 102.49 99.7483 100.513
66 33 1 97.5811 99.7288 101.093
67 34 1 97.9373 99.9375 102.361
68 34 1 98.029 100.595 101.405
69 35 1 100.056 97.1947 102.236
70 35 1 100.628 98.1087 101.62
71 36 1 98.3408 99.8498 99.285
72 36 1 97.9872 100.614 100.126
73 37 1 97.6685 101.812 102.883
74 37 1 97.4979 101.472 101.788
75 38 1 98.5281 101.507 101.373
76 38 1 98.2965 101.081 102.407
77 39 1 101.764 98.6878 101.597
78 39 1 102.009 99.791 101.605
79 40 1 100.221 98.9681 100.969
80 40 1 101.091 98.3328 100.646
81 41 1 98.7535 97.4048 102.303
82 41 1 99.4296 102.445 102.685
83 42 1 102.807 98.9575 101.08
84 42 1 102.659 98.4343 102.11
85 43 1 98.9881 100.526 99.7592
86 43 1 98.5642 99.699 100.471
87 44 1 98.4558 102.686 97.2535
88 44 1 99.3785 102.667 98.0126
89 45 1 101.378 97.4742 101.237
90 45 1 100.734 97.4399 100.23
91 46 1 101.935 99.2052 102.686
92 46 1 101.931 98.1226 97.3292
93 47 1 100.165 98.2059 102.592
94 47 1 99.3785 97.5415 97.2245
95 48 1 98.3184 100.952 99.0609
96 48 1 98.848 101.687 98.2095
97 49 1 101.183 102.311 97.5607
98 49 1 101.932 102.849 102.71
99 50 1 102.799 97.6201 102.9
100 50 1 102.726 102.357 97.1218
101 51 1 102.116 98.6948 100.283
102 51 1 101.214 99.1897 99.6672
103 52 1 101.56 102.604 98.5875
104 52 1 101.399 102.746 99.6975
105 53 1 99.8295 102.733 100.449
106 53 1 99.816 97.9854 100.647
107 54 1 97.444 98.7226 99.0576
108 54 1 98.3463 98.9004 99.7852
109 55 1 98.0304 98.9702 102.823
110 55 1 102.809 98.7068 97.1626
111 56 1 101.43 98.1711 99.5978
112 56 1 100.34 98.4857 99.8742
113 57 1 101.592 101.102 99.1364
114 57 1 100.935 100.209 99.2375
115 58 1 99.707 99.9162 101.154
116 58 1 100.487 99.7256 100.273
117 59 1 101.262 100.199 102.416
